Test,Frequency,Fixtures
All_Freq_No_Flow_contact_4d2,f200,18.71481793
All_Freq_No_Flow_contact_4d2,f250,20.88918588
All_Freq_No_Flow_contact_4d2,f315,14.73992668
All_Freq_No_Flow_contact_4d2,f400,11.88610953
All_Freq_No_Flow_contact_4d2,f500,9.254093326
All_Freq_No_Flow_contact_4d2,f630,13.11774883
All_Freq_No_Flow_contact_4d2,f800,5.785523282
All_Freq_No_Flow_contact_4d2,f1000,3.93420609
All_Freq_No_Flow_contact_4d2,f1250,3.297360747
All_Freq_No_Flow_contact_4d2,f1600,2.63767677
All_Freq_No_Flow_contact_4d2,f2000,2.461641888
All_Freq_No_Flow_contact_4d2,f2500,2.236314357
All_Freq_No_Flow_contact_4d2,f3100,2.20286142
All_Freq_No_Flow_contact_4d2,f4000,1.739104835
All_Freq_No_Flow_contact_4d2,f5000,1.41150938
All_Freq_No_Flow_contact_4d2,f6300,1.137059758
All_Freq_No_Flow_contact_4d2,f8000,1.516537661
All_Freq_No_Flow_contact_4d2,f10000,5.047679983
All_Freq_No_Flow_ambient_4d2,f25,11.17282853
All_Freq_No_Flow_ambient_4d2,f31_5,8.202222434
All_Freq_No_Flow_ambient_4d2,f40,8.181859887
All_Freq_No_Flow_ambient_4d2,f50,10.94484697
All_Freq_No_Flow_ambient_4d2,f63,9.210246106
All_Freq_No_Flow_ambient_4d2,f80,11.35944574
All_Freq_No_Flow_ambient_4d2,f100,10.71103058
All_Freq_No_Flow_ambient_4d2,f125,8.185059843
All_Freq_No_Flow_ambient_4d2,f160,8.228236494
All_Freq_No_Flow_ambient_4d2,f200,7.249443018
All_Freq_No_Flow_ambient_4d2,f250,7.008636444
All_Freq_No_Flow_ambient_4d2,f315,7.173749157
All_Freq_No_Flow_ambient_4d2,f400,6.861586145
All_Freq_No_Flow_ambient_4d2,f500,6.779631528
All_Freq_No_Flow_ambient_4d2,f630,7.095717391
All_Freq_No_Flow_ambient_4d2,f800,6.261820992
All_Freq_No_Flow_ambient_4d2,f1000,6.085596886
All_Freq_No_Flow_ambient_4d2,f1250,6.474732226
All_Freq_No_Flow_ambient_4d2,f1600,6.884663166
All_Freq_No_Flow_ambient_4d2,f2000,7.467255637
All_Freq_No_Flow_ambient_4d2,f2500,8.178416638
All_Freq_No_Flow_ambient_4d2,f3100,8.77540872
All_Freq_No_Flow_ambient_4d2,f4000,9.246153315
